027_6, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
027_7, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
027_8, d4, [' U11', ' U2', ' U20', ' U28'], [' c3:d4', ' c4:d5', ' d3:e4', ' d4:e5']
027_9, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
028_1, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
028_2, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
028_3, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
028_4, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
028_5, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
028_6, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
028_7, d5, [' U11', ' U28', ' V2', ' V20'], [' c4:d5', ' c5:d6', ' d4:e5', ' d5:e6']
028_8, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
028_9, d6, [' V11', ' V2', ' V20', ' V28'], [' c5:d6', ' c6:d7', ' d5:e6', ' d6:e7']
029_1, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_2, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_3, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
029_4, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_5, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_6, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
029_7, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_8, d7, [' V11', ' V28', ' W2', ' W20'], [' c6:d7', ' c7:d8', ' d6:e7', ' d7:e8']
029_9, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
030_1, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
030_2, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
030_3, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
030_4, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
030_5, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
030_6, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
030_7, d8, [' W11', ' W2', ' W20', ' W28'], [' c7:d8', ' c8:d9', ' d7:e8', ' d8:e9']
030_8, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
030_9, d9, [' W11', ' W28', ' X2', ' X20'], [' c8:d9', ' c9:d10', ' d8:e9', ' d9:e10']
031_1, d10, [' X11', ' X2', ' X20', ' X28'], [' c10:d11', ' c9:d10', ' d10:e11', ' d9:e10']
031_2, d10, [' X11', ' X2', ' X20', ' X28'], [' c10:d11', ' c9:d10', ' d10:e11', ' d9:e10']
